# name-stuff given names
# format: name|gender|frequency|tags
#
Aage|M|7|7
Aagot|F|1|1
Aagoth|F|1|1
Aale|M|1|1
Aapeli|M|1|1
Aapo|M|2|2
Aappo|M|3|3
Aarne|M|6|6
Aarni|M|1|1
Aarno|M|4|4
Aaro|M|4|4
Aarre|M|4|4
Aase|F|6|6
Aashild|F|1|1
Aatami|M|1|1
Aatos|M|4|4
Aatto|M|4|4
Aatu|M|1|1
Abel|M|1|1
Abram|M|1|1
Acke|M|1|1
Ada|F|1|1
Adalmiina|F|1|1
Adam|M|3|3
Adda|F|4|4
Addi|F|1|1
Addie|F|1|1
Addy|F|1|1
Adela|F|1|1
Adele|F|1|1
Adeline|F|1|1
Adina|F|1|1
Adolf|M|2|2
Adéle|F|1|1
Agatha|F|1|1
Agathe|F|1|1
Agda|F|1|1
Agla|F|4|4
Agna|F|1|1
Agnar|M|6|6
Agne|M|4|4
Agner|M|2|2
Agnes|F|6|6
Agneta|F|7|7
Agnete|F|5|5
Agnetha|F|2|2
Agnethe|F|4|4
Ahti|M|5|5
Aija|F|4|4
Aila|F|6|6
Aili|F|5|5
Ailin|F|2|2
Aimo|M|6|6
Aina|F|5|5
Aini|F|4|4
Ainikki|F|1|1
Aino|F|7|mythological
Ainoriitta|F|1|1
Aira|F|5|5
Airi|F|5|5
Aki|M|5|5
Akke|M|1|1
Aksel|M|6|6
Akseli|M|4|4
Aku|M|2|2
Alan|M|3|3
Alarik|M|4|4
Albert|M|5|5
Alberte|F|1|1
Alberthe|F|1|1
Albin|M|3|3
Alda|F|6|6
Aldor|M|1|1
Aldís|F|6|6
Ale|M|1|1
Aleksander|M|3|3
Aleksanteri|M|4|4
Aleksi|M|5|5
Alette|F|1|1
Alex|M|5|5
Alexander|M|6|6
Alexandra|F|5|mythological
Alexía|F|2|2
Alf|M|6|6
Alfa|F|2|2
Alfhild|F|1|1
Alfred|M|4|4
Alfreð|M|5|5
Alfrid|F|1|1
Alhed|F|1|1
Ali|M|3|3
Alice|F|6|6
Alida|F|1|1
Aliina|F|2|2
Aliisa|F|2|2
Alina|F|4|4
